"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"9",13,4.30378170289855,1.41123906179095,6.576,3.95482239494359,8,0.523261961625253,51.8898389835262,7,6.48622987294078
"10",14,3.39977173913043,0.752243344515995,5.302,6.01213042200921,8,0.685944032439533,40.8075979347025,5,5.10094974183781
"11",15,5.7616645021645,2.70208470962953,16.601,1.52052109849513,3.44775826996195,0.201201678999578,21.5205041363697,4,6.24188311688312
"12",16,4.38774061913696,4.15393129752669,16.651,3.80812579358302,5.90896957199345,0.441190712557309,29.894064635798,2,5.05909943714822
"13",17,7.39753020446097,5.36947109968018,15.65,1.43941518685531,6.28320787446781,0.278324412268859,49.7634735187869,3,7.92007434944238
"14",18,14.5714816490699,1.88860988056717,16.235,3.43975374826157,4.31378953675427,0.391354844477293,64.9811991983223,15,15.0635997988939
"15",19,3.41131190150479,2.70748477887791,16.25,3.44217998014276,7.37898406300398,0.487002557999225,27.8049406313878,2,3.76812585499316
"16",20,3.1857248413418,2.50572644129997,17.355,4.2824057668657,7.95200936170516,0.600151920198079,27.8680799525578,2,3.50453309156845
"17",21,6.48822207958922,6.66666363203979,18.156,0.562639153285826,1.86508893791344,0.0891163505271086,13.1130835853041,3,7.03080872913992
"18",22,15.1005027866242,1.41891123976251,18.379,3.51124871970212,7.6498324231498,0.464498242291125,119.385501785327,16,15.6062898089172
"19",23,14.4189505582137,2.40431646985655,18.203,2.03972274230345,7.5119304518312,0.365001226415695,112.927557346647,13,15.0330940988836
"20",24,7.28586042823156,5.16107944150595,16.74,4.69296587221557,8,0.562169550776867,117.851936993818,17,14.7314921242272
"21",25,5.23234367445608,5.0762658095359,17.307,2.30423022387092,6.79227959103042,0.351665088790872,38.2442011622281,2,5.63053988718775
"22",26,4.54112376041253,3.97134601873852,17.564,2.44907871691169,8,0.378532112168223,109.774194841246,18,13.7217743551557
"23",27,4.41702299762094,1.04607549666872,7.042,2.88891054790581,8,0.490385594994851,51.5050973387777,6,6.43813716734721
"24",28,3.6691642205474,1.23773313885543,6.944,4.05503840626851,8,0.518821961550658,51.546122974368,7,6.443265371796
"25",29,5.2142801952013,5.77205195296614,17.521,2.84959832754525,6.31845111581043,0.351703011477714,36.1724260198541,2,5.72488816592111
"26",30,10.0397926605505,5.19807894485764,18.185,1.22576955416328,3.77960060548224,0.173926921349913,39.5817806528254,12,10.4724770642202
"27",31,8.25468175765646,2.98632863216668,17.685,3.52019295699983,8,0.471322623321484,106.768667945267,12,13.3460834931584
"28",32,8.81297967667436,2.19576328682907,19.229,2.06053903294043,5.7413989785277,0.315053449071385,52.9044059686551,9,9.21454965357968
"29",33,7.29935346358792,1.90723848907713,17.787,3.84825226610433,8,0.482766153358019,108.653845213314,18,13.5817306516643
"30",34,7.963557478917,1.55823139597282,17.486,2.37907580457796,8,0.41980489774694,100.576225000969,9,12.5720281251212
"31",35,11.3907611806798,3.67163462127658,18.637,4.87503972867346,7.32074468321951,0.576005640795027,87.4396816881679,9,11.9440966010733
"32",36,15.3136496815287,2.22860932818365,19.72,3.08402315460771,6.34708136126193,0.400092955602303,99.9390986496424,13,15.74567788899
"33",37,14.0509880952381,1.41476782477758,19.823,3.48351096683619,6.05731524806548,0.443919815184875,88.4107317594246,14,14.595695970696
"34",38,12.938381443299,2.56802001213767,18.922,1.09040557344011,3.73743253087245,0.180937017132033,50.6402842817078,14,13.5494845360825
"35",39,13.4081795685279,3.30950516861177,18.754,0.488980936134195,2.32118661249244,0.0988297286681559,32.1387138776634,16,13.8458121827411
"36",40,12.3686662222222,3.99563771714991,18.687,2.04879036367548,7.90699540011978,0.354148694676458,101.57150579985,11,12.8457777777778
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
