"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"255","UMBS",-99999,-99999,"",-99999,"","","","",NA
"256","UMBS",-99999,-99999,"",-99999,"","","","",NA
"257","UMBS",-99999,-99999,"",-99999,"","","","",NA
"258","UMBS",-99999,-99999,"",-99999,"","","","",NA
"259","UMBS",-99999,-99999,"",-99999,"","","","",NA
"260","UMBS",-99999,-99999,"",-99999,"","","","",NA
"261","UMBS",-99999,-99999,"",-99999,"","","","",NA
"262","UMBS",-99999,-99999,"",-99999,"","","","",NA
"263","UMBS",-99999,-99999,"",-99999,"","","","",NA
"264","UMBS",-99999,-99999,"",-99999,"","","","",NA
"265","UMBS",-99999,-99999,"",-99999,"","","","",NA
"266","UMBS",-99999,-99999,"",-99999,"","","","",NA
"267","UMBS",-99999,-99999,"",-99999,"","","","",NA
"268","UMBS",-99999,-99999,"",-99999,"","","","",NA
"269","UMBS",-99999,-99999,"",-99999,"","","","",NA
"270","UMBS",-99999,-99999,"",-99999,"","","","",NA
"271","UMBS",-99999,-99999,"",-99999,"","","","",NA
"272","UMBS",-99999,-99999,"",-99999,"","","","",NA
"273","UMBS",-99999,-99999,"",-99999,"","","","",NA
"274","UMBS",-99999,-99999,"",-99999,"","","","",NA
"275","UMBS",-99999,-99999,"",-99999,"","","","",NA
"276","UMBS",-99999,-99999,"",-99999,"","","","",NA
"277","UMBS",-99999,-99999,"",-99999,"","","","",NA
"278","UMBS",-99999,-99999,"",-99999,"","","","",NA
"279","UMBS",-99999,-99999,"",-99999,"","","","",NA
"280","UMBS",-99999,-99999,"",-99999,"","","","",NA
"281","UMBS",-99999,-99999,"",-99999,"","","","",NA
"282","UMBS",-99999,-99999,"",-99999,"","","","",NA
"283","UMBS",-99999,-99999,"",-99999,"","","","",NA
"284","UMBS",-99999,-99999,"",-99999,"","","","",NA
"285","UMBS",-99999,-99999,"",-99999,"","","","",NA
"286","UMBS",-99999,-99999,"",-99999,"","","","",NA
"287","UMBS",-99999,-99999,"",-99999,"","","","",NA
"288","UMBS",-99999,-99999,"",-99999,"","","","",NA
"289","UMBS",-99999,-99999,"",-99999,"","","","",NA
"290","UMBS",-99999,-99999,"",-99999,"","","","",NA
"291","UMBS",-99999,-99999,"",-99999,"","","","",NA
"292","UMBS",-99999,-99999,"",-99999,"","","","",NA
"293","UMBS",-99999,-99999,"",-99999,"","","","",NA
"294","UMBS",-99999,-99999,"",-99999,"","","","",NA
"295","UMBS",-99999,-99999,"",-99999,"","","","",NA
"296","UMBS",-99999,-99999,"",-99999,"","","","",NA
"297","UMBS",-99999,-99999,"",-99999,"","","","",NA
"298","UMBS",-99999,-99999,"",-99999,"","","","",NA
"299","UMBS",-99999,-99999,"",-99999,"","","","",NA
"300","UMBS",-99999,-99999,"",-99999,"","","","",NA
"301","UMBS",-99999,-99999,"",-99999,"","","","",NA
"302","UMBS",-99999,-99999,"",-99999,"","","","",NA
"303","UMBS",-99999,-99999,"",-99999,"","","","",NA
"304","UMBS",-99999,-99999,"",-99999,"","","","",NA
"305","UMBS",-99999,-99999,"",-99999,"","","","",NA
"306","UMBS",-99999,-99999,"",-99999,"","","","",NA
"307","UMBS",-99999,-99999,"",-99999,"","","","",NA
"308","UMBS",-99999,-99999,"",-99999,"","","","",NA
"309","UMBS",-99999,-99999,"",-99999,"","","","",NA
"310","UMBS",-99999,-99999,"",-99999,"","","","",NA
"311","UMBS",-99999,-99999,"",-99999,"","","","",NA
"312","UMBS",-99999,-99999,"",-99999,"","","","",NA
"313","UMBS",-99999,-99999,"",-99999,"","","","",NA
"314","UMBS",-99999,-99999,"",-99999,"","","","",NA
"315","UMBS",-99999,-99999,"",-99999,"","","","",NA
"316","UMBS",-99999,-99999,"",-99999,"","","","",NA
"317","UMBS",-99999,-99999,"",-99999,"","","","",NA
"318","UMBS",-99999,-99999,"",-99999,"","","","",NA
"319","UMBS",-99999,-99999,"",-99999,"","","","",NA
"320","UMBS",-99999,-99999,"",-99999,"","","","",NA
"321","UMBS",-99999,-99999,"",-99999,"","","","",NA
"322","UMBS",-99999,-99999,"",-99999,"","","","",NA
"323","UMBS",-99999,-99999,"",-99999,"","","","",NA
"324","UMBS",-99999,-99999,"",-99999,"","","","",NA
"325","UMBS",-99999,-99999,"",-99999,"","","","",NA
"326","UMBS",-99999,-99999,"",-99999,"","","","",NA
"327","UMBS",-99999,-99999,"",-99999,"","","","",NA
"328","UMBS",-99999,-99999,"",-99999,"","","","",NA
"329","UMBS",-99999,-99999,"",-99999,"","","","",NA
"330","UMBS",-99999,-99999,"",-99999,"","","","",NA
"331","UMBS",-99999,-99999,"",-99999,"","","","",NA
"332","UMBS",-99999,-99999,"",-99999,"","","","",NA
"333","UMBS",-99999,-99999,"",-99999,"","","","",NA
"334","UMBS",-99999,-99999,"",-99999,"","","","",NA
"335","UMBS",-99999,-99999,"",-99999,"","","","",NA
"336","UMBS",-99999,-99999,"",-99999,"","","","",NA
"337","UMBS",-99999,-99999,"",-99999,"","","","",NA
"338","UMBS",-99999,-99999,"",-99999,"","","","",NA
"339","UMBS",-99999,-99999,"",-99999,"","","","",NA
"340","UMBS",-99999,-99999,"",-99999,"","","","",NA
"341","UMBS",-99999,-99999,"",-99999,"","","","",NA
"342","UMBS",-99999,-99999,"",-99999,"","","","",NA
"343","UMBS",-99999,-99999,"",-99999,"","","","",NA
"344","UMBS",-99999,-99999,"",-99999,"","","","",NA
"345","UMBS",-99999,-99999,"",-99999,"","","","",NA
"346","UMBS",-99999,-99999,"",-99999,"","","","",NA
"347","UMBS",-99999,-99999,"",-99999,"","","","",NA
"348","UMBS",-99999,-99999,"",-99999,"","","","",NA
"349","UMBS",-99999,-99999,"",-99999,"","","","",NA
"350","UMBS",-99999,-99999,"",-99999,"","","","",NA
"351","UMBS",-99999,-99999,"",-99999,"","","","",NA
"352","UMBS",-99999,-99999,"",-99999,"","","","",NA
"353","UMBS",-99999,-99999,"",-99999,"","","","",NA
"354","UMBS",-99999,-99999,"",-99999,"","","","",NA
"355","UMBS",-99999,-99999,"",-99999,"","","","",NA
"356","UMBS",-99999,-99999,"",-99999,"","","","",NA
"357","UMBS",-99999,-99999,"",-99999,"","","","",NA
"358","UMBS",-99999,-99999,"",-99999,"","","","",NA
"359","UMBS",-99999,-99999,"",-99999,"","","","",NA
"360","UMBS",-99999,-99999,"",-99999,"","","","",NA
"361","UMBS",-99999,-99999,"",-99999,"","","","",NA
"362","UMBS",-99999,-99999,"",-99999,"","","","",NA
"363","UMBS",-99999,-99999,"",-99999,"","","","",NA
"364","UMBS",-99999,-99999,"",-99999,"","","","",NA
"365","UMBS",-99999,-99999,"",-99999,"","","","",NA
"366","UMBS",-99999,-99999,"",-99999,"","","","",NA
"367","UMBS",-99999,-99999,"",-99999,"","","","",NA
"368","UMBS",-99999,-99999,"",-99999,"","","","",NA
"369","UMBS",-99999,-99999,"",-99999,"","","","",NA
"370","UMBS",-99999,-99999,"",-99999,"","","","",NA
"371","UMBS",-99999,-99999,"",-99999,"","","","",NA
"372","UMBS",-99999,-99999,"",-99999,"","","","",NA
"373","UMBS",-99999,-99999,"",-99999,"","","","",NA
"374","UMBS",-99999,-99999,"",-99999,"","","","",NA
"375","UMBS",-99999,-99999,"",-99999,"","","","",NA
"376","UMBS",-99999,-99999,"",-99999,"","","","",NA
"377","UMBS",-99999,-99999,"",-99999,"","","","",NA
"378","UMBS",-99999,-99999,"",-99999,"","","","",NA
"379","UMBS",-99999,-99999,"",-99999,"","","","",NA
"380","UMBS",-99999,-99999,"",-99999,"","","","",NA
"381","UMBS",-99999,-99999,"",-99999,"","","","",NA
"382","UMBS",-99999,-99999,"",-99999,"","","","",NA
"383","UMBS",-99999,-99999,"",-99999,"","","","",NA
"384","UMBS",-99999,-99999,"",-99999,"","","","",NA
"385","UMBS",-99999,-99999,"",-99999,"","","","",NA
"386","UMBS",-99999,-99999,"",-99999,"","","","",NA
"387","UMBS",-99999,-99999,"",-99999,"","","","",NA
"388","UMBS",-99999,-99999,"",-99999,"","","","",NA
"389","UMBS",-99999,-99999,"",-99999,"","","","",NA
"390","UMBS",-99999,-99999,"",-99999,"","","","",NA
"391","UMBS",-99999,-99999,"",-99999,"","","","",NA
"392","UMBS",-99999,-99999,"",-99999,"","","","",NA
"393","UMBS",-99999,-99999,"",-99999,"","","","",NA
"394","UMBS",-99999,-99999,"",-99999,"","","","",NA
"395","UMBS",-99999,-99999,"",-99999,"","","","",NA
"396","UMBS",-99999,-99999,"",-99999,"","","","",NA
"397","UMBS",-99999,-99999,"",-99999,"","","","",NA
"398","UMBS",-99999,-99999,"",-99999,"","","","",NA
"399","UMBS",-99999,-99999,"",-99999,"","","","",NA
"400","UMBS",-99999,-99999,"",-99999,"","","","",NA
"401","UMBS",-99999,-99999,"",-99999,"","","","",NA
"402","UMBS",-99999,-99999,"",-99999,"","","","",NA
"403","UMBS",-99999,-99999,"",-99999,"","","","",NA
"404","UMBS",-99999,-99999,"",-99999,"","","","",NA
"405","UMBS",-99999,-99999,"",-99999,"","","","",NA
"406","UMBS",-99999,-99999,"",-99999,"","","","",NA
